date,fng_value,fng_class,Open,High,Low,Close,Volume_btc,Volume_usd,sopr_val
2018-02-01,30,Fear,10056.99,10298.0,10005.0,10285.1,1596.2308,16196316.0,0.9841716545009431
2018-02-02,15,Extreme Fear,10285.1,10335.0,8750.99,9224.51,33514.465,317193950.0,0.9406989951392131
2018-02-03,40,Fear,9224.51,9250.0,8010.02,8873.03,49416.133,429309600.0,0.9829480971687261
2018-02-04,24,Extreme Fear,8873.02,9473.01,8229.0,9199.96,27992.14,250686600.0,1.00892401060084
2018-02-05,11,Extreme Fear,9194.06,9368.0,7930.0,8184.81,31986.713,274667300.0,0.96120827419412
2018-02-06,8,Extreme Fear,8179.99,8382.8,6625.0,6939.99,63442.793,471125700.0,0.9594638143925791
2018-02-07,36,Fear,6939.63,7878.0,6000.01,7667.62,99864.65,682170300.0,0.981196488603814
2018-02-08,30,Fear,7667.61,8476.0,7150.01,7599.98,60456.004,475258980.0,0.9860656269945001
2018-02-09,44,Fear,7599.0,7844.0,7572.09,7784.02,1520.8804,11765001.0,0.9823532804281031
2018-02-10,54,Neutral,7789.9,8738.0,7789.9,8683.92,20475.023,173251500.0,1.00061120603533
2018-02-11,31,Fear,8683.93,9065.78,8120.0,8533.99,49415.76,423616220.0,0.9942687930273941
2018-02-12,42,Fear,8533.99,8549.0,7726.53,8063.88,45061.76,367190500.0,1.00376265596453
2018-02-13,35,Fear,8063.82,8989.0,8053.0,8908.5,41995.324,362501500.0,0.990253505256756
2018-02-14,55,Greed,8908.49,8950.0,8351.0,8535.17,35460.547,305136350.0,1.00882644378048
2018-02-15,71,Greed,8535.25,9489.6,8533.0,9449.69,40817.676,370040700.0,1.02370791652345
2018-02-16,67,Greed,9444.02,10219.5,9301.5,10001.38,52425.387,512140130.0,1.01256083754625
2018-02-17,74,Greed,10000.89,10323.37,9666.0,10159.98,38162.23,381114660.0,1.01130034131898
2018-02-18,63,Greed,10156.07,11075.07,10050.0,11040.0,41854.773,445652480.0,1.00784264251583
2018-02-19,67,Greed,11040.0,11274.0,10080.0,10383.08,61113.566,649006500.0,1.01207544860272
2018-02-20,74,Greed,10384.65,11250.0,10270.33,11153.0,39852.227,433535070.0,1.02957444152931
2018-02-21,54,Neutral,11147.11,11786.01,11100.59,11195.06,48101.22,550882940.0,1.00806287614213
2018-02-22,44,Fear,11199.98,11304.03,10200.0,10431.7,68103.516,731212350.0,1.08298688560341
2018-02-23,39,Fear,10431.39,10933.44,9679.0,9815.55,67042.914,681836860.0,1.00506249772411
2018-02-24,31,Fear,9815.45,10435.0,9570.19,10131.04,57148.348,571039360.0,1.00182440730284
2018-02-25,33,Fear,10131.04,10496.97,9352.0,9694.51,40898.2,405639170.0,0.993352750225381
2018-02-26,37,Fear,9694.51,9847.0,9274.8,9597.99,28198.541,269625200.0,1.00506181313774
2018-02-27,44,Fear,9586.62,10444.32,9350.0,10318.0,34873.508,347531840.0,1.01534702873577
2018-02-28,41,Fear,10324.0,10870.0,10121.0,10598.0,30703.98,324331040.0,1.01517717468721
2018-03-01,38,Fear,10576.98,11098.0,10300.0,10326.76,30786.51,327811040.0,1.0068325166581
2018-03-02,47,Neutral,10325.64,11060.41,10240.0,10920.0,24877.844,265890290.0,1.01258481992807
2018-03-03,56,Greed,10923.36,11200.0,10770.0,11039.19,23904.281,262884200.0,1.01115596564794
2018-03-04,44,Fear,11040.0,11544.0,11015.01,11466.0,21268.441,241525810.0,1.02278755295069
2018-03-05,55,Greed,11466.0,11565.0,11050.02,11515.0,17287.74,194775230.0,1.0325299224995
2018-03-06,59,Greed,11515.0,11710.0,11415.01,11451.86,15139.433,174833730.0,1.00718000205946
2018-03-07,37,Fear,11455.0,11455.0,10555.48,10716.48,29505.307,323784930.0,0.9840942551141971
2018-03-08,39,Fear,10716.48,10899.0,9389.31,9902.99,50663.86,514810460.0,0.9828839173122351
2018-03-09,37,Fear,9907.8,10099.0,9060.0,9271.64,41091.086,394429440.0,0.9475592092767791
2018-03-10,39,Fear,9267.07,9410.0,8329.0,9227.0,64079.938,566584450.0,0.984814528171792
2018-03-11,40,Fear,9230.0,9490.0,8667.07,8770.0,37150.098,340980300.0,1.00287782586598
2018-03-12,41,Fear,8770.23,9740.0,8450.0,9533.57,44334.29,403513760.0,0.996653775863068
2018-03-13,41,Fear,9533.57,9888.88,8780.0,9131.34,41642.7,389793760.0,0.9944843981264581
2018-03-14,40,Fear,9131.34,9474.0,8823.0,9150.2,40033.684,365907000.0,0.9774535488619551
2018-03-15,32,Fear,9150.2,9333.78,7900.28,8170.0,49622.582,425343600.0,0.9883643899497631
2018-03-16,33,Fear,8184.01,8430.0,7650.0,8240.98,52207.637,421507230.0,0.9863119955725581
2018-03-17,31,Fear,8240.98,8611.64,7900.0,8260.0,38461.3,319442270.0,0.9941406911134051
2018-03-18,29,Fear,8260.0,8348.62,7721.99,7830.03,33104.625,265970320.0,0.9889704871460551
2018-03-19,29,Fear,7830.03,8317.4,7322.0,8181.0,59496.39,458359300.0,0.9995933080069741
2018-03-20,37,Fear,8189.98,8705.23,8088.4,8594.14,55176.6,461591940.0,0.9970258805373571
2018-03-21,36,Fear,8594.14,9050.0,8280.0,8902.81,44867.402,387906020.0,1.00372867704224
2018-03-22,36,Fear,8903.05,9177.01,8750.6,8885.0,39963.195,358140670.0,0.9916382707601231
2018-03-23,28,Fear,8884.82,9100.0,8465.1,8720.0,40523.355,353995100.0,0.9919366623076251
2018-03-24,32,Fear,8722.96,8909.0,8269.0,8902.83,39908.477,340037300.0,1.00709567215062
2018-03-25,30,Fear,8899.0,8999.95,8491.0,8531.0,35448.516,313121020.0,0.9847546049561341
2018-03-26,31,Fear,8531.0,8669.85,8365.77,8470.14,28994.541,246993500.0,0.984599349414319
2018-03-27,24,Extreme Fear,8470.14,8514.89,7831.0,8134.23,44036.348,358446700.0,0.988050114609555
2018-03-28,24,Extreme Fear,8134.22,8215.94,7730.0,7787.02,37422.66,297563100.0,0.9852274422149521
2018-03-29,18,Extreme Fear,7787.22,8109.0,7728.0,7949.3,26342.75,208734750.0,0.960191396121687
2018-03-30,12,Extreme Fear,7949.3,7975.0,6941.11,7090.16,54586.688,405227600.0,0.9670136342909491
2018-03-31,16,Extreme Fear,7090.16,7292.43,6600.1,6840.24,65310.04,450124770.0,0.99091337856688
2018-04-01,16,Extreme Fear,6840.23,7223.36,6777.0,6923.91,36867.16,258329500.0,0.9760927070101281
